_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,COP_DELIV_QTY,COP_DELIV_PERC,CH_TOTAL_TRADES,VWAP,CH_TIMESTAMP,CH_ISIN,createdAt,updatedAt,TIMESTAMP,mTIMESTAMP
66c5d6fe7d87ff8fce09d150,AXISBANK,EQ,N,1178.0,1161.5,1166.6,1174.4,1176.4,1168.0,9480630,11100913642.45,1339.65,943.95,5814013,61.33,201270,1170.9,2024-08-21,INE238A01034,2024-08-21T12:01:02.538Z,2024-08-21T12:01:02.538Z,2024-08-20T18:30:00.000Z,2024-08-21
66c7287eca847f6a4b1eb50f,AXISBANK,EQ,N,1181.0,1168.95,1179.7,1169.95,1170.0,1174.4,5841326,6854064563.2,1339.65,943.95,3820163,65.4,162840,1173.37,2024-08-22,INE238A01034,2024-08-22T12:01:02.707Z,2024-08-22T12:01:02.707Z,2024-08-21T18:30:00.000Z,2024-08-22
66c879ff6952857aea11cb2b,AXISBANK,EQ,N,1173.95,1163.5,1170.0,1165.95,1167.6,1169.95,5121962,5985802416.35,1339.65,943.95,3668357,71.62,96601,1168.65,2024-08-23,INE238A01034,2024-08-23T12:01:03.027Z,2024-08-23T12:01:03.027Z,2024-08-22T18:30:00.000Z,2024-08-23
66b361ffc65c452d432b4172,BAJAJFINSV,EQ,N,1584.8,1563.65,1584.1,1571.4,1574.0,1564.1,1443063,2270126988.45,1741.0,1419.05,1146765,79.47,40952,1573.13,2024-08-07,INE918I01026,2024-08-07T12:01:03.159Z,2024-08-07T12:01:03.159Z,2024-08-06T18:30:00.000Z,2024-08-07
66b4b37fbeafe5d0f80845ce,BAJAJFINSV,EQ,N,1576.45,1532.55,1562.45,1540.05,1538.25,1571.4,1683534,2614010348.2,1741.0,1419.05,1084779,64.43,92789,1552.69,2024-08-08,INE918I01026,2024-08-08T12:01:03.187Z,2024-08-08T12:01:03.187Z,2024-08-07T18:30:00.000Z,2024-08-08
66c5d6fe7d87ff8fce09d305,BAJAJFINSV,EQ,N,1628.8,1599.95,1600.0,1620.95,1617.0,1602.1,1966030,3178685357.6,1741.0,1419.05,1196451,60.86,124859,1616.8,2024-08-21,INE918I01026,2024-08-21T12:01:02.698Z,2024-08-21T12:01:02.698Z,2024-08-20T18:30:00.000Z,2024-08-21
66c7287eca847f6a4b1eb6b8,BAJAJFINSV,EQ,N,1630.0,1614.05,1624.8,1625.7,1625.0,1620.95,1325535,2153635703.2,1741.0,1419.05,929392,70.11,146376,1624.73,2024-08-22,INE918I01026,2024-08-22T12:01:02.860Z,2024-08-22T12:01:02.860Z,2024-08-21T18:30:00.000Z,2024-08-22
66c879ff6952857aea11cce3,BAJAJFINSV,EQ,N,1644.95,1623.2,1627.9,1639.9,1644.0,1625.7,1114056,1821718657.4,1741.0,1419.05,689175,61.86,94274,1635.21,2024-08-23,INE918I01026,2024-08-23T12:01:03.179Z,2024-08-23T12:01:03.179Z,2024-08-22T18:30:00.000Z,2024-08-23
66c5d7007d87ff8fce09dfe3,BAJFINANCE,EQ,N,6747.3,6695.0,6721.95,6735.35,6734.0,6722.2,633111,4261169264.1,8192.0,6187.8,429646,67.86,61864,6730.52,2024-08-21,INE296A01024,2024-08-21T12:01:04.029Z,2024-08-21T12:01:04.029Z,2024-08-20T18:30:00.000Z,2024-08-21
66c7287fca847f6a4b1ec370,BAJFINANCE,EQ,N,6765.0,6723.9,6750.0,6743.6,6745.0,6735.35,728260,4913191079.25,8192.0,6187.8,502258,68.97,79471,6746.48,2024-08-22,INE296A01024,2024-08-22T12:01:03.970Z,2024-08-22T12:01:03.970Z,2024-08-21T18:30:00.000Z,2024-08-22
